5	11	51.9671
42	35	42.7171
39	36	30.4511
16	19	35.1102
33	34	29.0435
2	9	49.8918
0	16	32.7234
10	12	35.1703
20	21	34.1467
4	10	51.5995
12	13	33.9036
7	11	68.6819
26	36	47.4087
35	34	29.8245
23	35	52.4416
0	16	32.7234
2	1	33.1724
19	21	34.805
8	12	37.1006
4	20	35.1274
18	11	50.7943
21	19	34.325
7	4	34.7344
34	35	30.3045
49	34	40.2292
38	36	29.6199
12	10	34.6903
1	16	50.1152
50	33	38.5342
22	21	31.5484
36	35	30.0916
11	4	51.5891
21	20	33.6667
24	34	45.5487
18	19	33.4477
19	11	34.4968
42	36	43.3522
0	8	32.1671
48	35	43.2434
22	20	33.9779
11	13	35.0758
10	4	68.2914
18	21	35.1899
29	36	46.8565
25	34	43.4993
6	11	52.6794
3	2	33.4389
0	8	32.1671
20	19	34.3395
11	12	34.4985
26	35	46.5031
19	20	34.8195
35	36	30.5716
36	34	30.618
4	11	50.8391
33	35	30.932
1	8	49.559
22	19	34.6362
7	13	50.1377
0	18	51.404
11	12	34.4985
14	20	52.018
44	36	28.7378
41	34	41.4335
37	35	30.6126
12	11	34.0185
2	0	34.2839
0	1	33.4878
1	2	33.6524
11	10	33.4475
28	36	30.6904
18	20	35.2043
10	13	35.7476
45	35	42.4406
21	11	51.0367
4	28	35.0022
27	34	46.562
12	4	34.3725
34	36	31.098
3	2	33.4389
2	10	32.8164
1	0	33.0078
0	9	48.9872
48	34	54.3906
18	19	33.4477
7	11	67.5493
29	35	48.3658
19	21	34.805
4	7	35.2144
21	19	34.325
1	3	35.0577
47	36	42.3168
2	17	50.5378
26	35	45.3003
10	11	33.9275
19	20	34.8195
43	34	40.921
7	12	52.3413
3	2	33.4389
4	13	49.342
20	11	52.0378
17	21	35.9028
1	17	33.0773
36	35	30.0916
22	20	33.9779
26	34	29.7225
9	12	36.0613
0	2	34.7639
4	1	35.7024
50	18	31.9092
43	35	29.3102
12	11	34.0185
20	19	34.3395
19	21	34.805
21	20	33.6667
3	12	50.4208
2	16	82.1081
4	6	34.2976
1	2	33.6524
27	35	30.9923
10	11	33.9275
13	10	35.2676
20	21	34.1467
19	20	34.8195
22	19	34.6362
34	35	30.3045
2	18	33.6406
3	2	33.4389
27	36	46.1561
4	21	50.3751
8	12	37.1006
6	10	51.7973
2	4	35.0436
29	35	62.4543
19	21	34.805
21	20	33.6667
10	12	35.1703
1	10	49.4683
43	35	29.3102
21	19	34.325
19	11	34.4968
6	4	33.8176
17	21	35.9028
2	8	66.2081
0	10	50.1555
13	12	33.4236
43	36	44.604
27	35	30.9923
1	9	32.4313
19	20	34.8195
9	4	52.9069
8	11	35.8579
50	33	52.2626
15	20	67.5037
33	35	30.932
0	2	34.7639
43	34	43.8469
13	11	34.5958
17	20	35.9172
36	35	30.0916
9	11	34.8186
0	17	49.6332
43	36	42.4102
18	21	35.1899
42	35	42.7171
14	11	35.166
10	12	35.1703
9	10	33.0753
2	4	35.0436
3	19	34.661
27	35	30.9923
4	10	51.5109
18	20	35.2043
14	21	48.9584
22	11	51.3479
10	13	35.7476
1	18	64.6447
2	8	50.3402
3	2	33.4389
41	35	57.1413
17	19	34.1606
4	7	35.2144
5	10	68.768
22	21	31.5484
21	11	51.3932
10	4	52.0845
9	12	36.0613
1	2	33.6524
2	0	34.2839
36	35	30.0916
18	19	33.4477
42	34	28.3636
4	6	34.2976
34	36	31.098
19	11	34.4968
12	20	34.2112
1	16	48.7422
3	2	33.4389
43	35	29.3102
22	19	34.6362
2	9	49.3009
42	36	44.8649
10	11	33.9275
19	21	34.805
44	35	43.9556
18	19	33.4477
1	9	32.4313
13	11	34.5958
2	17	65.4588
19	20	34.8195
20	21	34.1467
11	4	51.6105
43	35	29.3102
36	34	30.618
1	8	48.7475
10	11	33.9275
21	19	34.325
2	18	33.6406
19	20	34.8195
11	13	35.0758
34	35	30.3045
35	34	29.8245
2	10	32.8164
19	21	34.805
6	11	51.1255
21	20	33.6667
20	19	34.3395
11	12	34.4985
46	34	43.4156
33	36	31.7255
3	27	34.9728
38	35	31.2414
1	10	49.2122
21	37	31.3222
16	21	36.8523
4	11	50.8391
2	16	81.1237
20	19	34.3395
13	4	49.8792
22	20	33.9779
10	12	35.1703
44	34	41.9701
42	35	42.7171
35	36	30.5716
4	13	50.2242
18	20	35.2043
1	17	33.0773
9	11	34.8186
6	12	49.9533
